location,date,new_cases,population
Albania,2020-03-15,33.0,2842318.0
Albania,2020-03-22,37.0,2842318.0
Albania,2020-03-29,116.0,2842318.0
Albania,2020-04-05,118.0,2842318.0
Albania,2020-04-12,112.0,2842318.0
Albania,2020-04-19,123.0,2842318.0
Albania,2020-04-26,139.0,2842318.0
Albania,2020-05-03,104.0,2842318.0
Albania,2020-05-10,68.0,2842318.0
Albania,2020-05-17,66.0,2842318.0
Albania,2020-05-24,65.0,2842318.0
Albania,2020-05-31,118.0,2842318.0
Albania,2020-06-07,113.0,2842318.0
Albania,2020-06-14,204.0,2842318.0
Albania,2020-06-21,422.0,2842318.0
Albania,2020-06-28,431.0,2842318.0
Albania,2020-07-05,483.0,2842318.0
Albania,2020-07-12,526.0,2842318.0
Albania,2020-07-19,628.0,2842318.0
Albania,2020-07-26,664.0,2842318.0
Albania,2020-08-02,706.0,2842318.0
Albania,2020-08-09,875.0,2842318.0
Albania,2020-08-16,966.0,2842318.0
Albania,2020-08-23,1002.0,2842318.0
Albania,2020-08-30,1076.0,2842318.0
Albania,2020-09-06,772.0,2842318.0
Albania,2020-09-13,1054.0,2842318.0
Albania,2020-09-20,1052.0,2842318.0
Albania,2020-09-27,972.0,2842318.0
Albania,2020-10-04,920.0,2842318.0
Albania,2020-10-11,1101.0,2842318.0
Albania,2020-10-18,1435.0,2842318.0
Albania,2020-10-25,2055.0,2842318.0
Albania,2020-11-01,2078.0,2842318.0
Albania,2020-11-08,2576.0,2842318.0
Albania,2020-11-15,3491.0,2842318.0
Albania,2020-11-22,4758.0,2842318.0
Albania,2020-11-29,4786.0,2842318.0
Albania,2020-12-06,5057.0,2842318.0
Albania,2020-12-13,5561.0,2842318.0
Albania,2020-12-20,5141.0,2842318.0
Albania,2020-12-27,3376.0,2842318.0
Albania,2021-01-03,3343.0,2842318.0
Albania,2021-01-10,3655.0,2842318.0
Albania,2021-01-17,4257.0,2842318.0
Albania,2021-01-24,4020.0,2842318.0
Albania,2021-01-31,5695.0,2842318.0
Albania,2021-02-07,6732.0,2842318.0
Albania,2021-02-14,7753.0,2842318.0
Albania,2021-02-21,7074.0,2842318.0
Albania,2021-02-28,7320.0,2842318.0
Albania,2021-03-07,6072.0,2842318.0
Albania,2021-03-14,4822.0,2842318.0
Albania,2021-03-21,3899.0,2842318.0
Albania,2021-03-28,3194.0,2842318.0
Albania,2021-04-04,2626.0,2842318.0
Albania,2021-04-11,1953.0,2842318.0
Albania,2021-04-18,1512.0,2842318.0
Albania,2021-04-25,963.0,2842318.0
